Customer ID,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data
7495-OOKFY,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer
1658-BYGOY,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges
4412-YLTKF,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,Q3,2,Churned,Yes,1,76,3964,Other,Don't know
3445-HXXGF,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices
9514-JDSKI,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges
3606-TWKGI,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices
4385-GZQXV,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer
8098-LLAZX,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer
0265-EDXBD,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
2840-XANRC,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer
5804-LEPIM,Q3,3,Churned,Yes,1,73,2671,Other,Don't know
0623-IIHUG,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer
9057-MSWCO,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer
4895-TMWIR,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer
